STOP: 03:35

*** Welcome to microcom (2009.06) ***
connected to /dev/ttyUSB1
Escape character: Ctrl-\
Type the escape character followed by c to get to the menu or q to quit
min volts   amps    mAh
0,  0.425,  0.515,  0.00
5,  0.410,  0.497,  42.93
10,  0.400,  0.486,  84.38
15,  0.391,  0.474,  124.85
20,  0.386,  0.468,  164.33
25,  0.386,  0.468,  203.31
30,  0.386,  0.468,  242.30
35,  0.386,  0.468,  281.28
40,  0.381,  0.462,  320.27
45,  0.381,  0.462,  358.76
50,  0.381,  0.462,  397.25
55,  0.381,  0.462,  435.74
60,  0.381,  0.462,  474.23
65,  0.381,  0.462,  512.72
70,  0.381,  0.462,  551.21
75,  0.381,  0.462,  589.70
80,  0.381,  0.462,  628.19
85,  0.381,  0.462,  666.69
90,  0.381,  0.462,  705.18
95,  0.381,  0.462,  743.67
100,  0.376,  0.456,  782.16
105,  0.376,  0.456,  820.16
110,  0.376,  0.456,  858.15
115,  0.376,  0.456,  896.15
120,  0.376,  0.456,  934.15
125,  0.376,  0.456,  972.15
130,  0.376,  0.456,  1010.14
135,  0.376,  0.456,  1048.14
140,  0.371,  0.450,  1086.14
145,  0.371,  0.450,  1123.64
150,  0.371,  0.450,  1161.15
155,  0.371,  0.450,  1198.65
160,  0.366,  0.444,  1236.16
165,  0.366,  0.444,  1273.17
170,  0.366,  0.444,  1310.18
175,  0.361,  0.438,  1347.19
180,  0.356,  0.432,  1383.71
185,  0.356,  0.432,  1419.73
190,  0.352,  0.426,  1455.75
195,  0.347,  0.420,  1491.28
200,  0.342,  0.415,  1526.32
205,  0.332,  0.403,  1560.86
210,  0.308,  0.373,  1594.42
215,  0.273,  0.332,  1625.51
220,  0.249,  0.302,  1653.14
225,  0.225,  0.272,  1678.31
230,  0.210,  0.255,  1701.01
235,  0.195,  0.237,  1722.23
240,  0.181,  0.219,  1741.97
245,  0.171,  0.207,  1760.23
250,  0.156,  0.189,  1777.50
255,  0.142,  0.172,  1793.29
260,  0.127,  0.154,  1807.60
265,  0.107,  0.130,  1820.43
270,  0.093,  0.113,  1831.29
275,  0.088,  0.107,  1840.66
280,  0.078,  0.095,  1849.55
285,  0.073,  0.089,  1857.44
290,  0.068,  0.083,  1864.84
295,  0.063,  0.077,  1871.75
300,  0.059,  0.071,  1878.17
305,  0.054,  0.065,  1884.09
310,  0.049,  0.059,  1889.52
315,  0.049,  0.059,  1894.45
320,  0.044,  0.053,  1899.39
325,  0.044,  0.053,  1903.83
330,  0.039,  0.047,  1908.27
335,  0.039,  0.047,  1912.22
340,  0.039,  0.047,  1916.17
345,  0.034,  0.041,  1920.11
350,  0.034,  0.041,  1923.57
355,  0.034,  0.041,  1927.02
360,  0.029,  0.036,  1930.48
365,  0.029,  0.036,  1933.44
370,  0.024,  0.030,  1936.40
375,  0.029,  0.036,  1938.87
380,  0.024,  0.030,  1941.83
385,  0.024,  0.030,  1944.29
390,  0.024,  0.030,  1946.76
395,  0.024,  0.030,  1949.23
400,  0.024,  0.030,  1951.70
405,  0.020,  0.024,  1954.16
410,  0.020,  0.024,  1956.14


